iti_coeff,snr_db,sector_errors,sector_count,bit_errors,num_bits,runtime_sec,FSR,BER,FSR_upper_95_zero_fail
0.0,14.0,350,500,3777,16386560,925.930753,0.7,0.00023049377050460865,
0.0,15.0,104,500,616,16386560,560.803136,0.208,3.759178253397907e-05,
0.0,16.0,11,500,128,16386560,113.995873,0.022,7.811279487580066e-06,
0.0,17.0,1,500,2,16386560,50.896963,0.002,1.2205124199343853e-07,
0.0,18.0,0,500,0,16386560,46.470108,0.0,0.0,0.006
0.0,19.0,0,500,0,16386560,45.086551,0.0,0.0,0.006
0.0,20.0,0,500,0,16386560,44.604312,0.0,0.0,0.006
0.0,21.0,0,500,0,16386560,44.521532,0.0,0.0,0.006
0.0,22.0,0,500,0,16386560,44.690375,0.0,0.0,0.006
0.2,18.0,500,500,34105,16386560,923.678686,1.0,0.0020812788040931104,
0.2,20.0,2006,2500,23982,81925880,4402.099088,0.8024,0.00029272801219834316,
0.2,21.0,724,2000,5154,65539320,2707.0436090000003,0.362,7.863981499960634e-05,
0.2,22.0,216,2500,1410,81925880,1406.784796,0.0864,1.7210678725696935e-05,
0.2,23.0,22,2000,100,65539320,285.587529,0.011,1.5258016103920517e-06,
0.2,24.0,4,2500,32,81925880,244.63149600000003,0.0016,3.9059696398744815e-07,
0.2,25.0,0,2000,0,65539320,167.792196,0.0,0.0,0.0015
0.2,26.0,0,2500,0,81925880,206.307255,0.0,0.0,0.0012
0.2,28.0,0,500,0,16386560,45.230534,0.0,0.0,0.006
0.2,30.0,0,500,0,16386560,44.800187,0.0,0.0,0.006
