iti_coeff,snr_db,sector_errors,sector_count,bit_errors,num_bits,runtime_sec,FSR,BER,FSR_upper_95_zero_fail
0.0,14.0,350,500,3777,16386560,925.930753,0.7,0.00023049377050460865,
0.0,15.0,104,500,616,16386560,560.803136,0.208,3.759178253397907e-05,
0.0,16.0,11,500,128,16386560,113.995873,0.022,7.811279487580066e-06,
0.0,17.0,1,500,2,16386560,50.896963,0.002,1.2205124199343853e-07,
0.0,18.0,0,500,0,16386560,46.470108,0.0,0.0,0.006
0.0,19.0,0,500,0,16386560,45.086551,0.0,0.0,0.006
0.0,20.0,0,500,0,16386560,44.604312,0.0,0.0,0.006
0.0,21.0,0,500,0,16386560,44.521532,0.0,0.0,0.006
0.0,22.0,0,500,0,16386560,44.690375,0.0,0.0,0.006
0.2,18.0,500,500,34105,16386560,923.678686,1.0,0.0020812788040931104,
0.2,20.0,1207,1500,14545,49156220,2669.649196,0.8046666666666666,0.0002958933782947509,
0.2,21.0,362,1000,2577,32769660,1353.849547,0.362,7.863981499960634e-05,
0.2,22.0,132,1500,889,49156220,868.146519,0.088,1.8085198577107842e-05,
0.2,23.0,11,1000,50,32769660,143.598749,0.011,1.5258016103920517e-06,
0.2,24.0,2,1500,16,49156220,146.042623,0.0013333333333333333,3.25492887776969e-07,
0.2,25.0,0,1000,0,32769660,84.315353,0.0,0.0,0.003
0.2,26.0,0,1500,0,49156220,126.222773,0.0,0.0,0.002
0.2,28.0,0,500,0,16386560,45.230534,0.0,0.0,0.006
0.2,30.0,0,500,0,16386560,44.800187,0.0,0.0,0.006
