family,rate,snr_db,iti_coeff,num_bits,bit_errors,BER,block_errors,block_error_rate,seed,runtime_sec,name,pre_ecc_ber,final_ldpc_input_ber,inner_channel_ber,outer_ldpc_rate,inner_rate,inner_code,inner_demapper,configured_inner_demapper,channel_detector,equalizer_iterations,channel_llr_clip,turbo_iterations,turbo_rounds,turbo_llr_clip,turbo_damping,demapper_chunk,n,k,num_frames,max_iters,method,scale,decoder,sigma,boundary,target_ber,hit_target,detector_tap_source,detector_taps_matched,true_iti_coeff,detector_iti_coeff,true_tap_c0,detector_tap_c0,detector_tap_delta_c0,true_tap_c_down_prev,detector_tap_c_down_prev,detector_tap_delta_c_down_prev,true_tap_c_down_next,detector_tap_c_down_next,detector_tap_delta_c_down_next,true_tap_c_cross_up,detector_tap_c_cross_up,detector_tap_delta_c_cross_up,true_tap_c_cross_down,detector_tap_c_cross_down,detector_tap_delta_c_cross_down,sector_bits,sector_bytes,sector_count,sector_discarded_bits,sector_errors,sector_error_rate,FSR,inner_encoder,outer_bits_per_frame,inner_bits_per_track,blocks_per_track_pair,pad_bits,pad_bits_per_track_pair,tx_trellis_transition_violations,tx_trellis_transition_count,tx_trellis_transition_violation_rate,trellis_boundary_down_mtr,trellis_boundary_max_checker_run,demapped_bits_per_frame
ldpc+mtr2d_8x2,0.9010416666666667,17.5,0.3,16386560,24,1.4646149039212623e-06,4,0.0004222972972972973,425,2951.102178,highrate_k15_eqpilot_bcjr2_trueiti030_detiti_phase1_tail_seed425_500sector,1.7009196696696697e-06,1.7009196696696697e-06,2.7493313626126126e-07,0.9611111111111111,0.9375,mtr2d_2x8_K15_m3_c1,hard_codebook,hard_codebook,bcjr_2d_equalized,2,30.0,0,1,30.0,0.0,64,1800,1730,9472,30,minsum,0.75,ldpc,0.1333521432163324,zero,0.01,True,ldpc_override,False,0.3,0.18,1.0,1.0,0.0,0.15,0.15,0.0,0.15,0.15,0.0,0.3,0.18,-0.12,0.3,0.18,-0.12,32768,4096.0,500,2560,4,0.008,0.008,blockwise,1800,1920,240,0,0,0,1131904,0.0,8,8,1800
ldpc+mtr2d_8x2,0.9010416666666667,17.5,0.3,16386560,30,1.830768629901578e-06,5,0.0005278716216216217,425,2961.275763,highrate_k15_eqpilot_bcjr2_trueiti030_detiti_phase1_tail_seed425_500sector,2.052834084084084e-06,2.052834084084084e-06,3.2991976351351353e-07,0.9611111111111111,0.9375,mtr2d_2x8_K15_m3_c1,hard_codebook,hard_codebook,bcjr_2d_equalized,2,30.0,0,1,30.0,0.0,64,1800,1730,9472,30,minsum,0.75,ldpc,0.1333521432163324,zero,0.01,True,ldpc_override,False,0.3,0.19,1.0,1.0,0.0,0.15,0.15,0.0,0.15,0.15,0.0,0.3,0.19,-0.10999999999999999,0.3,0.19,-0.10999999999999999,32768,4096.0,500,2560,5,0.01,0.01,blockwise,1800,1920,240,0,0,0,1131904,0.0,8,8,1800
ldpc+mtr2d_8x2,0.9010416666666667,18.0,0.3,16386560,0,0.0,0,0.0,425,2938.246179,highrate_k15_eqpilot_bcjr2_trueiti030_detiti_phase1_tail_seed425_500sector,0.0,0.0,0.0,0.9611111111111111,0.9375,mtr2d_2x8_K15_m3_c1,hard_codebook,hard_codebook,bcjr_2d_equalized,2,30.0,0,1,30.0,0.0,64,1800,1730,9472,30,minsum,0.75,ldpc,0.12589254117941673,zero,0.01,True,ldpc_override,False,0.3,0.18,1.0,1.0,0.0,0.15,0.15,0.0,0.15,0.15,0.0,0.3,0.18,-0.12,0.3,0.18,-0.12,32768,4096.0,500,2560,0,0.0,0.0,blockwise,1800,1920,240,0,0,0,1131904,0.0,8,8,1800
ldpc+mtr2d_8x2,0.9010416666666667,18.0,0.3,16386560,0,0.0,0,0.0,425,2935.646051,highrate_k15_eqpilot_bcjr2_trueiti030_detiti_phase1_tail_seed425_500sector,0.0,0.0,0.0,0.9611111111111111,0.9375,mtr2d_2x8_K15_m3_c1,hard_codebook,hard_codebook,bcjr_2d_equalized,2,30.0,0,1,30.0,0.0,64,1800,1730,9472,30,minsum,0.75,ldpc,0.12589254117941673,zero,0.01,True,ldpc_override,False,0.3,0.19,1.0,1.0,0.0,0.15,0.15,0.0,0.15,0.15,0.0,0.3,0.19,-0.10999999999999999,0.3,0.19,-0.10999999999999999,32768,4096.0,500,2560,0,0.0,0.0,blockwise,1800,1920,240,0,0,0,1131904,0.0,8,8,1800
ldpc+mtr2d_8x2,0.9010416666666667,18.5,0.3,16386560,8,4.882049679737541e-07,3,0.000316722972972973,425,2956.097731,highrate_k15_eqpilot_bcjr2_trueiti030_detiti_phase1_tail_seed425_500sector,8.211336336336337e-07,8.211336336336337e-07,1.6495988175675677e-07,0.9611111111111111,0.9375,mtr2d_2x8_K15_m3_c1,hard_codebook,hard_codebook,bcjr_2d_equalized,2,30.0,0,1,30.0,0.0,64,1800,1730,9472,30,minsum,0.75,ldpc,0.11885022274370183,zero,0.01,True,ldpc_override,False,0.3,0.18,1.0,1.0,0.0,0.15,0.15,0.0,0.15,0.15,0.0,0.3,0.18,-0.12,0.3,0.18,-0.12,32768,4096.0,500,2560,3,0.006,0.006,blockwise,1800,1920,240,0,0,0,1131904,0.0,8,8,1800
ldpc+mtr2d_8x2,0.9010416666666667,18.5,0.3,16386560,15,9.15384314950789e-07,4,0.0004222972972972973,425,2970.53275,highrate_k15_eqpilot_bcjr2_trueiti030_detiti_phase1_tail_seed425_500sector,1.4076576576576577e-06,1.4076576576576577e-06,2.19946509009009e-07,0.9611111111111111,0.9375,mtr2d_2x8_K15_m3_c1,hard_codebook,hard_codebook,bcjr_2d_equalized,2,30.0,0,1,30.0,0.0,64,1800,1730,9472,30,minsum,0.75,ldpc,0.11885022274370183,zero,0.01,True,ldpc_override,False,0.3,0.19,1.0,1.0,0.0,0.15,0.15,0.0,0.15,0.15,0.0,0.3,0.19,-0.10999999999999999,0.3,0.19,-0.10999999999999999,32768,4096.0,500,2560,4,0.008,0.008,blockwise,1800,1920,240,0,0,0,1131904,0.0,8,8,1800
ldpc+mtr2d_8x2,0.9010416666666667,19.0,0.3,16386560,0,0.0,0,0.0,425,2942.684489,highrate_k15_eqpilot_bcjr2_trueiti030_detiti_phase1_tail_seed425_500sector,0.0,0.0,0.0,0.9611111111111111,0.9375,mtr2d_2x8_K15_m3_c1,hard_codebook,hard_codebook,bcjr_2d_equalized,2,30.0,0,1,30.0,0.0,64,1800,1730,9472,30,minsum,0.75,ldpc,0.11220184543019636,zero,0.01,True,ldpc_override,False,0.3,0.18,1.0,1.0,0.0,0.15,0.15,0.0,0.15,0.15,0.0,0.3,0.18,-0.12,0.3,0.18,-0.12,32768,4096.0,500,2560,0,0.0,0.0,blockwise,1800,1920,240,0,0,0,1131904,0.0,8,8,1800
ldpc+mtr2d_8x2,0.9010416666666667,19.0,0.3,16386560,0,0.0,0,0.0,425,2944.629976,highrate_k15_eqpilot_bcjr2_trueiti030_detiti_phase1_tail_seed425_500sector,0.0,0.0,0.0,0.9611111111111111,0.9375,mtr2d_2x8_K15_m3_c1,hard_codebook,hard_codebook,bcjr_2d_equalized,2,30.0,0,1,30.0,0.0,64,1800,1730,9472,30,minsum,0.75,ldpc,0.11220184543019636,zero,0.01,True,ldpc_override,False,0.3,0.19,1.0,1.0,0.0,0.15,0.15,0.0,0.15,0.15,0.0,0.3,0.19,-0.10999999999999999,0.3,0.19,-0.10999999999999999,32768,4096.0,500,2560,0,0.0,0.0,blockwise,1800,1920,240,0,0,0,1131904,0.0,8,8,1800
ldpc+mtr2d_8x2,0.9010416666666667,19.5,0.3,16386560,0,0.0,0,0.0,425,2941.035694,highrate_k15_eqpilot_bcjr2_trueiti030_detiti_phase1_tail_seed425_500sector,0.0,0.0,0.0,0.9611111111111111,0.9375,mtr2d_2x8_K15_m3_c1,hard_codebook,hard_codebook,bcjr_2d_equalized,2,30.0,0,1,30.0,0.0,64,1800,1730,9472,30,minsum,0.75,ldpc,0.10592537251772889,zero,0.01,True,ldpc_override,False,0.3,0.18,1.0,1.0,0.0,0.15,0.15,0.0,0.15,0.15,0.0,0.3,0.18,-0.12,0.3,0.18,-0.12,32768,4096.0,500,2560,0,0.0,0.0,blockwise,1800,1920,240,0,0,0,1131904,0.0,8,8,1800
ldpc+mtr2d_8x2,0.9010416666666667,19.5,0.3,16386560,0,0.0,0,0.0,425,2940.405784,highrate_k15_eqpilot_bcjr2_trueiti030_detiti_phase1_tail_seed425_500sector,0.0,0.0,0.0,0.9611111111111111,0.9375,mtr2d_2x8_K15_m3_c1,hard_codebook,hard_codebook,bcjr_2d_equalized,2,30.0,0,1,30.0,0.0,64,1800,1730,9472,30,minsum,0.75,ldpc,0.10592537251772889,zero,0.01,True,ldpc_override,False,0.3,0.19,1.0,1.0,0.0,0.15,0.15,0.0,0.15,0.15,0.0,0.3,0.19,-0.10999999999999999,0.3,0.19,-0.10999999999999999,32768,4096.0,500,2560,0,0.0,0.0,blockwise,1800,1920,240,0,0,0,1131904,0.0,8,8,1800
